Invoice Date,Customer Code,Material Code,Total
4/30/2016,128543,143324,6
4/30/2016,128543,220729,3
4/30/2016,160245,180199,67
4/30/2016,160245,182187,12
4/30/2016,160245,186547,40
4/30/2016,160245,186548,3
4/30/2016,160245,187546,9
4/30/2016,160245,187548,15
4/30/2016,160245,187550,26
4/30/2016,160245,195051,25
4/30/2016,160245,228913,3
4/30/2016,160245,436110,9
4/30/2016,160245,436294,11
4/30/2016,160245,442560,4
4/30/2016,160245,442561,4
4/30/2016,162906,221069,27
4/30/2016,162906,231276,22
4/30/2016,813502,187546,8
4/30/2016,813502,187548,31
4/30/2016,813502,187549,40
4/30/2016,813502,187550,51
4/30/2016,813502,220706,6
4/30/2016,813502,220707,13
4/30/2016,813502,220708,9
4/30/2016,813502,220718,15
4/30/2016,813502,220720,41
4/30/2016,813502,220721,18
4/30/2016,813502,220724,6
4/30/2016,813502,220729,25
4/30/2016,813502,306582,30
4/30/2016,813502,306693,20
4/30/2016,813502,306694,16
4/30/2016,813502,442561,6
4/30/2016,817901,220708,21
4/30/2016,817901,220718,8
4/30/2016,817901,220720,42
4/30/2016,817901,220721,15
4/30/2016,817901,220726,12
4/30/2016,847471,187548,18
4/30/2016,847471,195051,20
4/30/2016,847471,436231,14
4/30/2016,847471,442282,6
4/30/2016,847471,442562,3
4/30/2016,856737,143145,3
4/30/2016,856737,143218,3
4/30/2016,856737,143219,13
4/30/2016,856737,143221,13
4/30/2016,856737,143228,9
4/30/2016,856737,143323,3
4/30/2016,868275,143213,6
4/30/2016,868275,143222,24
4/30/2016,868275,158113,9
4/30/2016,868275,158114,6
4/30/2016,868275,175643,5
4/30/2016,868275,177755,8
4/30/2016,868275,177759,9
4/30/2016,868275,177761,9
4/30/2016,868275,507840,6
4/30/2016,868275,507841,6
4/30/2016,100922,143118,7
4/30/2016,100922,143219,12
4/30/2016,100922,186547,10
4/30/2016,100922,187544,13
4/30/2016,100922,187549,6
4/30/2016,100922,196860,15
4/30/2016,100922,220718,10
4/30/2016,100922,220969,6
4/30/2016,100922,436241,2
4/30/2016,114602,143111,4
4/30/2016,114602,143128,8
4/30/2016,114602,143130,9
4/30/2016,114602,143223,17
4/30/2016,114602,143230,6
4/30/2016,114602,186547,22
4/30/2016,114602,187548,25
4/30/2016,114602,220968,10
4/30/2016,114602,222756,9
4/30/2016,114602,222757,3
4/30/2016,114602,222759,5
4/30/2016,114602,436259,3
4/30/2016,115048,306582,4
4/30/2016,115048,306693,2
4/30/2016,115048,436294,6
4/30/2016,117061,208682,5
4/30/2016,117061,208703,4
4/30/2016,117061,209234,5
4/30/2016,117061,220707,18
4/30/2016,117061,220708,3
4/30/2016,117061,220718,11
4/30/2016,117061,220719,15
4/30/2016,117061,220720,12
4/30/2016,117061,220729,9
4/30/2016,117061,306582,3
4/30/2016,117061,312039,2
4/30/2016,117061,442560,2
4/30/2016,117061,452657,3
4/30/2016,117061,452658,2
4/30/2016,122331,187549,26
4/30/2016,122331,220720,12
4/30/2016,122331,436111,9
4/30/2016,122875,180199,3
4/30/2016,122875,186547,3
4/30/2016,122875,186548,7
4/30/2016,122875,187548,8
4/30/2016,122875,187549,3
4/30/2016,122875,187550,12
4/30/2016,122875,221069,9
4/30/2016,122875,221071,3
4/30/2016,122875,221072,6
4/30/2016,122875,222757,6
4/30/2016,122875,228913,7
4/30/2016,122875,436262,4
4/30/2016,122875,436290,3
4/30/2016,150962,143196,3
4/30/2016,150962,143229,6
4/30/2016,150962,180199,3
4/30/2016,150962,186548,3
4/30/2016,150962,221069,6
4/30/2016,150962,222757,9
4/30/2016,150962,231231,3
4/30/2016,150962,442282,3
4/30/2016,150962,442649,3
4/30/2016,160245,180187,30
4/30/2016,160245,187549,54
4/30/2016,160245,436231,20
4/30/2016,160245,436259,3
4/30/2016,160245,436262,15
4/30/2016,162906,220707,3
4/30/2016,162906,220708,3
4/30/2016,162906,220718,11
4/30/2016,162906,220719,15
4/30/2016,162906,220721,3
4/30/2016,162906,222757,18
4/30/2016,162906,222758,18
4/30/2016,162906,222759,6
4/30/2016,813502,195051,5
4/30/2016,813502,220719,30
4/30/2016,813502,436259,6
4/30/2016,813502,436262,27
4/30/2016,813502,442282,3
4/30/2016,813502,442560,9
4/30/2016,813502,442562,9
4/30/2016,817901,186548,12
4/30/2016,817901,187548,21
4/30/2016,817901,195051,11
4/30/2016,817901,220707,14
4/30/2016,817901,220719,27
4/30/2016,817901,228913,24
4/30/2016,817901,228914,6
4/30/2016,817901,306582,13
4/30/2016,817901,306693,5
4/30/2016,817901,306694,5
4/30/2016,817901,436110,9
4/30/2016,817901,436259,3
4/30/2016,817901,436261,9
4/30/2016,817901,442560,6
4/30/2016,847471,180201,3
4/30/2016,847471,186547,18
4/30/2016,847471,186548,8
4/30/2016,847471,220718,3
4/30/2016,847471,220725,7
4/30/2016,847471,221068,3
4/30/2016,847471,221069,6
4/30/2016,847471,222756,3
4/30/2016,847471,436110,20
4/30/2016,847471,436261,3
4/30/2016,868275,143144,5
4/30/2016,868275,143196,6
4/30/2016,868275,143197,2
4/30/2016,868275,143221,5
4/30/2016,868275,143223,5
4/30/2016,100922,143146,3
4/30/2016,100922,143195,6
4/30/2016,100922,143196,8
